,nombre,seguidores,foto,popularidad,generos
214,Nirvana,16860852,https://i.scdn.co/image/84282c28d851a700132356381fcfbadc67ff498b,83,rock
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,adult standards
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,bubblegum pop
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,classic uk pop
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,folk rock
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,lounge
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,mellow gold
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,merseybeat
215,Petula Clark,288774,https://i.scdn.co/image/ab6761610000e5eb521d636b6f8743e31b4ee3d1,52,rock-and-roll
216,Édith Piaf,972851,https://i.scdn.co/image/ab6761610000e5eb3a20aec93e0859f01bd5d466,63,chanson
216,Édith Piaf,972851,https://i.scdn.co/image/ab6761610000e5eb3a20aec93e0859f01bd5d466,63,torch song
216,Édith Piaf,972851,https://i.scdn.co/image/ab6761610000e5eb3a20aec93e0859f01bd5d466,63,vintage schlager
217,Kanye West,19205667,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,92,chicago rap
217,Kanye West,19205667,https://i.scdn.co/image/ab6761610000e5eb867008a971fae0f4d913f63a,92,rap
218,Wolfgang Amadeus Mozart,4844602,https://i.scdn.co/image/ab6761610000e5eb7fa9108c6dadb8c3ec21da88,77,classical
218,Wolfgang Amadeus Mozart,4844602,https://i.scdn.co/image/ab6761610000e5eb7fa9108c6dadb8c3ec21da88,77,classical era
219,Lisa Beckley,777,https://i.scdn.co/image/ab67616d0000b2739f3afba678d78dc6ed799e20,45,
220,Elena Filipova,187,https://i.scdn.co/image/ab67616d0000b273b262e8d9e6665a2ead692589,45,
221,Magdaléna Hajóssyová,319,https://i.scdn.co/image/4f47b93336bf53d4cab7b7a8e43fb613434b8a83,51,
222,Peter Mikulas,234,https://i.scdn.co/image/ab67616d0000b27365042935cfd342e96acb8d2f,52,
223,Michel Piquemal,175,https://i.scdn.co/image/ab67616d0000b273de0b0fb3dc635f2649eea42f,45,
224,Gloria Scalchi,122,https://i.scdn.co/image/ab67616d0000b2730adfe3ed771dc6fd50f0224b,45,
225,Michel Piquemal Vocal Ensemble,138,https://i.scdn.co/image/ab67616d0000b273bbdea3f8fce2f7e37493b5b3,45,
226,Hungarian State Opera Chorus,250,https://i.scdn.co/image/ab67616d0000b273a8ecd9f119de5d50319d5f14,45,hungarian choir
226,Hungarian State Opera Chorus,250,https://i.scdn.co/image/ab67616d0000b273a8ecd9f119de5d50319d5f14,45,hungarian classical performance
227,Oxford Schola Cantorum,1263,https://i.scdn.co/image/ab67616d0000b273f53f7d2d38e71cc5d3351f65,45,british choir
227,Oxford Schola Cantorum,1263,https://i.scdn.co/image/ab67616d0000b273f53f7d2d38e71cc5d3351f65,45,chamber choir
227,Oxford Schola Cantorum,1263,https://i.scdn.co/image/ab67616d0000b273f53f7d2d38e71cc5d3351f65,45,oxford choir
227,Oxford Schola Cantorum,1263,https://i.scdn.co/image/ab67616d0000b273f53f7d2d38e71cc5d3351f65,45,university choir
228,Slovak Philharmonic Chorus,711,https://i.scdn.co/image/ab67616d0000b273785791a2c507071f65ccb84c,53,
229,Hungarian State Opera Orchestra,1290,https://i.scdn.co/image/ab67616d0000b273da482c8ed1bd0fa2511fd234,46,hungarian classical performance
230,Orchestre De La Cite,97,,45,french orchestra
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,british choir
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,chamber choir
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,choral
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,early music
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,early music choir
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,early music ensemble
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,oxford choir
231,Oxford Camerata,11644,https://i.scdn.co/image/ab67616d0000b27380bba0ae81b2c9591869b05e,48,polyphony
232,Slovak Philharmonic,7309,https://i.scdn.co/image/ab67616d0000b2731c72ad5458bcc5d5650e3093,55,orchestra
232,Slovak Philharmonic,7309,https://i.scdn.co/image/ab67616d0000b2731c72ad5458bcc5d5650e3093,55,symfonicky orchestr
233,Los Chunguitos,161708,https://i.scdn.co/image/ab67616d0000b273d82ef81e4ecc1200c4ec15fa,50,carnaval cadiz
233,Los Chunguitos,161708,https://i.scdn.co/image/ab67616d0000b273d82ef81e4ecc1200c4ec15fa,50,pop flamenco
233,Los Chunguitos,161708,https://i.scdn.co/image/ab67616d0000b273d82ef81e4ecc1200c4ec15fa,50,rumba
233,Los Chunguitos,161708,https://i.scdn.co/image/ab67616d0000b273d82ef81e4ecc1200c4ec15fa,50,spanish pop
