,nombre,seguidores,foto,popularidad,generos
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,pop
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,pop dance
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,pop rap
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,post-teen pop
285,Zedd,5886699,https://i.scdn.co/image/ab6761610000e5eb7bb5ab9683125fc416c9dbfb,77,tropical house
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,dance pop
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,electropop
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,indie poptimism
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,metropopolis
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,post-teen pop
286,Foxes,303690,https://i.scdn.co/image/ab6761610000e5ebadb663c00fcc431448abfcb4,63,uk pop
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,canadian contemporary r&b
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,canadian pop
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,dance pop
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,electropop
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,pop
287,Alessia Cara,11098489,https://i.scdn.co/image/ab6761610000e5ebe74b7398634a741f74858dc7,77,post-teen pop
288,Pentatonix,3505475,https://i.scdn.co/image/ab6761610000e5eb1723d33e6837b553b2e512c1,76,a cappella
289,League of Legends,1562849,https://i.scdn.co/image/ab6761610000e5eb4d998e7541724c918777b8ca,80,speedrun
289,League of Legends,1562849,https://i.scdn.co/image/ab6761610000e5eb4d998e7541724c918777b8ca,80,video game music
